seed,diff_likelihood,diff_standard,homosexual,m_inpool,f_inpool,m_outpool,f_outpool,m_exp_all,f_exp_all,m_exp_ip,f_exp_ip,m_partner_all,f_partner_all,m_partner_ip,f_partner_ip,lt_likelihood
1914863617,1,0,0,55,59,95,91,1.1133333333333333,1.1133333333333333,3.036363636363636,2.830508474576271,0.6466666666666666,0.6466666666666666,1.7636363636363637,1.6440677966101696,6
710777239,1,0,0,49,58,101,92,1.2533333333333334,1.2533333333333334,3.836734693877551,3.2413793103448274,0.6266666666666667,0.6266666666666667,1.9183673469387754,1.6206896551724137,6
-1832048848,1,0,0,41,41,109,109,0.7733333333333333,0.7733333333333333,2.8292682926829267,2.8292682926829267,0.44666666666666666,0.44666666666666666,1.6341463414634145,1.6341463414634145,6
-601355021,1,0,0,41,47,109,103,0.7266666666666667,0.7266666666666667,2.658536585365854,2.3191489361702127,0.47333333333333333,0.47333333333333333,1.7317073170731707,1.5106382978723405,6
-770455019,1,0,0,54,54,96,96,1.0066666666666666,1.0066666666666666,2.7962962962962963,2.7962962962962963,0.6533333333333333,0.6533333333333333,1.8148148148148149,1.8148148148148149,6
879826806,1,0,0,51,47,99,103,0.8733333333333333,0.8733333333333333,2.5686274509803924,2.7872340425531914,0.5466666666666666,0.5466666666666666,1.607843137254902,1.7446808510638299,6
676766878,1,0,0,53,48,97,102,1.2333333333333334,1.2333333333333334,3.490566037735849,3.8541666666666665,0.56,0.56,1.5849056603773586,1.75,6
511874620,1,0,0,51,55,99,95,1,1,2.9411764705882355,2.727272727272727,0.6,0.6,1.7647058823529411,1.6363636363636365,6
1221087319,1,0,0,53,54,97,96,0.9466666666666667,0.9466666666666667,2.6792452830188678,2.6296296296296298,0.6266666666666667,0.6266666666666667,1.7735849056603774,1.7407407407407407,6
-1402408820,1,0,0,47,41,103,109,0.6133333333333333,0.6133333333333333,1.9574468085106382,2.2439024390243905,0.44666666666666666,0.44666666666666666,1.425531914893617,1.6341463414634145,6
430604983,1,0,0,49,44,101,106,1.02,1.02,3.122448979591837,3.477272727272727,0.5666666666666667,0.5666666666666667,1.7346938775510203,1.9318181818181819,6
925010377,1,0,0,56,52,94,98,1.1666666666666667,1.1666666666666667,3.125,3.3653846153846154,0.74,0.74,1.9821428571428572,2.1346153846153846,6
690343738,1,0,0,55,48,95,102,0.9933333333333333,0.9933333333333333,2.709090909090909,3.1041666666666665,0.56,0.56,1.5272727272727273,1.75,6
1832244428,1,0,0,57,55,93,95,1.16,1.16,3.0526315789473686,3.1636363636363636,0.7066666666666667,0.7066666666666667,1.8596491228070176,1.9272727272727272,6
-890616694,1,0,0,44,42,106,108,0.78,0.78,2.659090909090909,2.7857142857142856,0.44666666666666666,0.44666666666666666,1.5227272727272727,1.5952380952380953,8
-1481363977,1,0,0,49,43,101,107,1.0266666666666666,1.0266666666666666,3.142857142857143,3.5813953488372094,0.5133333333333333,0.5133333333333333,1.5714285714285714,1.7906976744186047,8
35825268,1,0,0,49,50,101,100,0.6933333333333334,0.6933333333333334,2.122448979591837,2.08,0.52,0.52,1.5918367346938775,1.56,8
1480350039,1,0,0,47,50,103,100,1,1,3.1914893617021276,3,0.58,0.58,1.851063829787234,1.74,8
1319701746,1,0,0,42,49,108,101,0.8666666666666667,0.8666666666666667,3.0952380952380953,2.6530612244897958,0.5266666666666666,0.5266666666666666,1.880952380952381,1.6122448979591837,8
1719922468,1,0,0,45,47,105,103,0.82,0.82,2.7333333333333334,2.617021276595745,0.49333333333333335,0.49333333333333335,1.6444444444444444,1.574468085106383,8
